N,P,K,temperature,humidity,ph,rainfall,label
91.53,29.6,36.41,25.29,79.13,5.88,234.11,rubber
30.07,18.45,27.62,26.91,80.81,6.25,75.63,grapes
8.65,14.69,9.55,18.07,97.18,6.94,95.83,orange
82.37,28.32,27.61,17.39,81.8,5.06,286.04,tea
110.81,47.54,30.33,23.68,74.71,6.88,69.61,cotton
19.2,16.25,26.78,23.97,91.8,5.84,102.15,coconut
47.37,53.98,55.47,29.01,49.5,6.38,52.06,castor
57.48,10.21,37.89,25.63,63.03,6.86,152.36,cashew
71.99,32.8,71.49,29.1,75.41,5.22,142.61,pineapple
89.06,8.82,51.41,33.74,86.57,6.46,50.72,watermelon
37.36,36.83,46.3,30.01,75.89,6.33,111.64,guava
37.1,51.16,33.25,26.93,48.81,6.35,37.46,castor
103.81,51.97,73.18,24.86,62.5,7.46,98.12,maize
19.69,77.82,26.76,21.09,38.15,5.51,176.13,pigeonpeas
20.15,71.65,45.37,29.29,45.95,6.47,89.28,groundnut
77.65,33.57,48.3,25.48,75.09,6.61,196.45,rice
31.75,19.38,40.74,29.32,69.87,6.3,99.02,lemon
81.68,58.46,43.83,27.22,80.33,6.69,137.45,jute
42.51,36.97,44.02,21.27,50.82,6.86,34.19,coriander
52.7,42.83,48.65,27.76,62.1,6.39,67.33,capsicum
39.36,42.02,108.45,19.35,57.9,5.8,45.71,carrot
85.38,8.67,41.0,26.84,93.26,6.5,20.0,muskmelon
41.78,36.23,61.0,26.95,53.8,6.78,86.92,guava
51.05,47.87,41.68,21.42,51.72,6.8,44.32,castor
102.34,16.03,26.94,28.0,80.24,5.47,198.7,rubber
114.23,31.96,17.31,26.76,59.6,7.52,173.02,coffee
30.74,36.21,51.85,29.37,57.75,6.16,70.27,lemon
31.89,49.21,73.64,15.71,11.02,7.45,79.5,chickpea
51.88,39.31,52.85,22.17,76.84,6.7,67.33,onion
44.94,33.73,49.81,24.31,71.84,5.91,131.73,lemon
108.69,42.37,104.55,30.26,81.1,5.62,115.27,pineapple
87.88,47.22,90.05,21.93,61.97,6.18,49.8,cabbage
15.4,71.36,21.91,24.6,63.56,6.6,53.03,lentil
22.37,35.29,91.39,17.03,53.3,6.14,54.34,carrot
65.88,52.52,42.82,22.74,82.34,6.73,208.72,rice
105.02,17.66,23.61,23.47,86.33,5.57,277.05,rubber
15.39,41.62,20.54,32.36,46.15,7.11,52.47,mothbeans
115.28,49.76,55.74,24.13,62.89,6.13,94.53,maize
48.0,28.49,38.03,18.78,55.2,6.84,45.7,mustard
56.84,53.96,45.21,35.16,89.48,6.24,168.03,papaya
91.64,47.87,80.09,27.96,80.03,6.24,58.44,tobacco
61.32,14.64,40.33,31.66,78.44,6.32,62.93,cashew
13.53,58.49,17.25,28.61,33.43,5.63,156.19,pigeonpeas
57.0,48.49,34.27,17.06,57.75,6.19,27.72,mustard
73.7,40.53,66.59,23.41,79.95,6.44,46.23,capsicum
98.12,59.35,75.01,30.67,80.22,6.01,126.98,ginger
21.58,55.3,9.73,24.21,73.75,6.69,50.93,mungbean
99.72,63.15,33.89,15.55,76.86,7.27,52.04,cotton
24.45,13.8,31.08,22.07,89.9,5.05,80.74,pomegranate
48.63,41.0,30.98,13.2,77.72,6.87,43.25,coriander
35.62,46.12,27.1,32.25,59.57,6.24,45.14,sesame
41.37,31.25,37.43,23.92,52.36,6.95,56.69,coriander
40.03,18.52,48.2,27.31,70.01,6.51,90.11,guava
46.99,30.2,70.12,20.87,62.99,7.04,28.66,radish
124.31,44.08,70.27,10.32,71.17,6.77,40.56,spinach
22.12,64.16,31.54,26.63,51.84,5.91,111.2,pigeonpeas
96.14,73.47,78.4,13.97,71.79,6.26,42.05,cauliflower
29.1,75.23,42.13,32.39,60.96,5.67,95.09,soybean
70.59,49.95,100.4,12.38,56.79,5.43,70.51,potato
102.69,66.31,52.48,22.57,57.81,5.95,54.94,maize
28.0,25.74,48.62,22.83,71.02,6.25,108.08,lemon
20.36,56.12,105.76,23.98,74.69,5.62,87.3,sweet_potato
95.96,68.72,90.76,28.18,77.33,6.15,158.17,turmeric
53.79,63.69,50.08,36.08,91.39,6.04,156.99,papaya
28.41,43.89,59.41,21.43,56.49,6.58,75.94,chilli
58.27,40.72,43.77,23.12,75.92,6.49,90.43,capsicum
23.25,13.62,48.45,19.49,84.68,5.39,105.73,pomegranate
23.95,15.59,6.67,22.31,90.69,6.81,96.51,orange
23.52,43.61,13.35,34.07,83.63,6.64,56.75,mungbean
76.11,30.2,74.6,15.42,61.68,6.96,40.65,spinach
83.12,7.5,51.96,26.42,81.69,6.54,49.6,watermelon
61.08,55.57,41.04,33.69,90.25,6.36,105.77,papaya
93.56,59.17,58.2,20.39,62.31,5.48,97.44,maize
34.51,34.3,112.14,14.93,64.75,6.67,52.64,carrot
53.31,73.84,95.39,11.52,64.42,5.47,50.25,potato
25.37,26.48,53.18,23.03,52.9,6.36,84.44,lemon
53.91,25.4,49.85,23.78,55.61,6.45,77.07,castor
116.13,11.49,46.8,28.87,90.43,6.42,62.47,watermelon
46.76,62.59,57.86,32.27,90.19,6.24,187.69,papaya
99.6,44.33,59.98,22.24,64.84,7.08,63.79,wheat
34.45,33.68,65.64,29.64,75.32,6.9,87.54,lemon
108.53,34.55,24.35,26.24,61.56,6.74,158.98,coffee
38.4,46.61,43.26,33.28,88.41,6.51,101.74,papaya
73.39,16.25,25.68,31.76,93.08,5.24,282.84,rubber
16.65,23.84,39.34,21.92,85.45,6.53,137.4,pomegranate
56.87,46.57,47.92,28.79,76.17,6.59,62.42,capsicum
36.02,86.42,14.83,30.12,52.62,7.45,78.48,blackgram
110.17,30.55,45.72,23.26,74.28,6.44,107.68,cotton
35.83,40.09,53.96,26.35,62.76,6.85,78.0,lemon
44.12,57.04,84.57,30.51,82.69,6.8,50.72,capsicum
21.12,65.58,23.32,27.42,62.11,5.34,168.73,pigeonpeas
91.75,73.12,87.36,33.63,82.96,6.41,198.2,sugarcane
82.29,32.16,77.15,21.89,65.69,6.46,69.64,cabbage
40.18,53.26,52.57,24.96,74.47,6.5,25.36,sunflower
110.82,35.37,69.61,24.22,86.38,5.37,199.59,tea
110.14,43.86,36.36,25.14,70.61,7.29,86.56,wheat
24.69,74.53,34.65,23.11,87.36,6.53,51.73,soybean
41.11,29.29,43.81,28.24,69.74,6.49,104.09,lemon
113.92,78.73,50.09,27.17,77.21,6.1,130.68,banana
76.85,55.13,64.03,22.7,92.34,6.03,189.8,cardamom
61.53,46.42,28.83,27.92,73.54,6.27,174.15,pepper
18.38,15.75,32.01,26.2,91.03,5.83,153.53,coconut
23.41,56.43,17.35,18.61,27.86,5.29,125.47,kidneybeans
39.21,26.35,34.97,22.79,56.64,7.12,20.0,cumin
71.69,44.67,34.38,22.62,82.72,5.74,198.48,cardamom
69.73,45.81,43.52,21.68,49.42,7.17,37.41,mustard
26.3,75.72,20.04,25.82,33.54,6.07,101.26,pigeonpeas
68.98,60.55,41.12,28.19,81.91,5.96,178.79,ginger
17.26,79.06,13.14,21.68,25.02,5.54,95.45,kidneybeans
90.56,55.46,66.73,23.7,78.69,6.2,96.91,tobacco
97.16,38.86,76.41,26.1,63.6,5.97,110.05,tobacco
97.81,50.69,56.76,32.13,88.4,5.45,121.92,ginger
54.71,62.34,53.46,20.6,55.18,6.73,57.53,sunflower
98.97,20.36,53.26,30.98,93.4,6.33,30.24,muskmelon
46.47,45.84,56.58,19.96,58.62,7.08,65.28,garlic
62.27,34.22,50.43,24.87,81.19,6.16,237.7,cardamom
59.35,35.83,47.75,21.35,73.16,6.93,61.63,tomato
108.16,110.24,50.8,22.86,77.65,5.56,101.31,banana
110.52,57.74,67.01,15.85,60.43,6.36,50.57,cauliflower
24.17,74.77,16.45,19.26,23.49,5.6,79.9,kidneybeans
64.2,48.39,60.67,20.56,53.8,7.28,49.39,sunflower
140.0,68.96,49.4,30.39,83.38,6.31,183.09,sugarcane
24.48,35.12,45.78,26.19,67.72,6.57,107.95,lemon
38.46,51.49,82.38,25.58,57.76,5.88,57.4,sweet_potato
76.27,22.06,28.85,29.28,85.11,5.4,206.79,rubber
84.62,38.42,89.84,18.44,64.81,6.33,44.94,cabbage
14.48,28.04,38.32,32.74,36.74,5.91,79.24,mango
29.0,40.57,47.27,16.58,66.34,6.37,62.61,coriander
11.83,64.42,27.7,21.53,74.85,6.46,49.99,lentil
107.74,30.31,50.36,10.73,66.57,6.63,41.45,spinach
106.44,55.5,92.47,31.75,72.08,6.3,212.24,sugarcane
58.42,50.44,96.64,12.45,66.96,6.42,62.74,potato
118.96,15.02,44.75,24.77,85.59,6.79,40.06,watermelon
102.72,56.67,39.53,24.18,60.19,6.8,114.2,wheat
94.91,33.58,65.47,31.4,88.54,5.52,162.23,pineapple
34.08,48.98,26.41,29.64,36.91,6.63,48.33,sesame
61.1,43.3,35.11,21.53,45.54,6.43,37.51,mustard
20.09,13.69,8.75,16.16,98.16,6.54,109.25,orange
43.39,33.37,29.56,26.68,51.35,7.18,42.9,sesame
18.12,54.56,60.55,31.34,62.85,6.89,71.44,groundnut
19.94,17.81,30.16,27.31,74.55,5.76,83.85,grapes
61.7,72.43,56.87,16.88,74.8,6.11,20.0,onion
106.52,49.84,64.88,13.54,57.41,6.96,50.64,spinach
60.72,46.48,34.98,21.43,54.0,6.53,38.23,mustard
18.85,53.44,44.45,25.36,47.63,6.76,48.95,groundnut
17.22,27.68,29.4,30.17,41.39,5.27,120.62,mango
43.61,65.18,105.27,15.43,71.56,5.92,75.01,strawberry
58.05,48.37,37.8,20.13,56.4,6.82,46.24,mustard
91.7,41.08,82.42,13.93,63.03,6.42,36.62,cabbage
46.61,35.87,51.19,24.71,58.36,6.66,78.26,tomato
58.62,48.12,45.1,27.57,52.75,6.86,55.12,sunflower
140.0,49.43,70.85,28.76,76.15,6.75,208.14,sugarcane
37.66,61.96,67.83,20.05,20.29,7.37,72.25,chickpea
38.36,42.76,64.8,20.79,69.55,6.32,51.24,radish
103.17,78.92,59.78,24.65,77.28,5.58,93.87,banana
35.83,20.01,70.34,33.77,61.38,6.93,93.9,guava
52.13,19.44,44.47,20.6,56.13,6.62,65.01,tomato
97.85,58.3,60.58,27.32,76.52,7.13,151.51,jute
107.25,39.19,87.07,18.41,59.59,6.28,60.09,cabbage
72.34,44.07,43.06,29.85,80.76,6.22,269.7,pepper
102.08,51.07,21.58,21.89,54.33,7.55,73.83,wheat
39.73,40.52,55.15,23.17,51.33,6.93,99.35,guava
79.18,58.56,48.45,25.15,60.01,6.38,100.29,wheat
24.27,15.1,22.15,30.6,96.72,5.77,190.88,coconut
37.45,57.24,54.43,21.16,74.53,6.31,78.99,chilli
116.89,33.96,65.28,19.12,68.21,6.73,43.76,spinach
20.29,12.37,37.12,25.52,79.41,5.98,48.71,grapes
75.6,40.69,28.32,20.01,73.27,6.61,154.82,jute
16.6,68.29,34.49,24.32,63.94,7.16,79.33,groundnut
17.71,63.69,37.54,26.24,64.76,6.07,73.21,soybean
75.14,50.35,55.66,21.27,88.3,5.42,200.58,cardamom
48.34,44.35,22.3,26.89,53.34,6.46,47.6,castor
43.27,31.26,32.07,25.36,65.1,7.41,39.92,cumin
42.08,43.39,80.97,14.75,81.61,6.79,41.14,radish
117.8,38.83,66.27,14.76,60.82,6.91,35.61,spinach
15.32,79.64,23.88,17.07,27.85,5.62,124.56,kidneybeans
98.21,43.98,74.8,25.12,92.01,6.33,141.44,turmeric
22.31,55.46,38.82,31.89,56.56,6.8,68.52,groundnut
117.85,46.31,25.92,22.18,91.34,5.65,197.41,tea
40.41,75.82,81.3,14.63,18.74,7.14,87.5,chickpea
22.5,53.5,22.12,28.96,52.1,5.55,144.99,pigeonpeas
99.65,48.86,35.24,18.12,76.07,6.77,83.59,wheat
29.11,97.78,95.99,15.99,81.29,5.8,56.07,strawberry
22.28,44.56,100.85,29.75,79.25,5.88,102.65,sweet_potato
49.08,46.74,38.56,33.93,52.9,5.89,46.7,sesame
23.69,24.71,39.9,22.42,81.03,5.97,161.44,pomegranate
24.72,28.01,33.46,31.58,60.74,6.16,127.16,mango
94.41,55.49,42.84,27.12,78.23,5.6,228.46,pepper
87.64,84.34,54.68,28.96,80.05,5.5,95.14,banana
65.92,38.55,65.16,24.45,68.88,6.93,35.47,capsicum
34.53,56.89,22.67,24.13,56.03,6.26,53.11,sesame
50.02,33.92,41.12,25.55,97.03,5.71,229.19,rubber
36.86,46.0,65.58,26.2,61.6,6.13,31.34,capsicum
59.38,51.19,50.97,31.61,88.79,6.76,128.45,papaya
72.51,71.91,64.47,31.67,68.96,6.08,72.85,tobacco
75.01,56.01,79.32,20.39,56.06,5.19,53.23,potato
47.76,41.74,25.47,29.02,59.78,6.79,55.62,sesame
103.59,6.58,59.78,26.88,90.86,6.44,24.66,muskmelon
74.32,24.21,27.39,27.58,81.08,5.67,253.98,rubber
26.52,143.07,198.65,20.76,90.6,5.91,130.8,apple
28.4,57.51,92.11,29.11,69.82,5.38,90.73,sweet_potato
90.24,39.63,29.48,23.48,59.89,6.2,92.12,wheat
61.79,46.19,45.81,16.77,68.44,7.03,65.51,garlic
125.87,35.59,70.6,16.88,71.79,6.05,20.0,cabbage
38.67,42.7,30.21,17.94,60.33,6.57,37.39,coriander
69.11,44.55,59.37,22.58,60.89,6.32,45.8,onion
18.49,37.12,15.58,24.78,84.95,6.9,42.88,mungbean
17.55,16.96,7.15,19.87,94.27,6.85,81.1,orange
100.75,11.07,60.18,28.13,94.19,6.73,26.89,muskmelon
46.95,24.55,33.22,26.14,75.44,5.91,72.68,cashew
45.44,35.87,71.97,17.3,55.86,6.43,35.39,radish
22.14,134.3,203.27,25.65,80.13,5.77,102.47,apple
30.2,27.19,46.11,24.8,52.51,7.04,20.0,cumin
36.65,35.19,25.13,21.73,50.06,7.46,23.25,cumin
42.98,23.76,34.16,23.37,52.56,6.57,44.23,coriander
98.52,45.69,44.16,21.21,71.8,6.0,247.89,rice
19.84,21.72,31.06,29.87,39.07,6.26,108.89,mango
16.78,65.19,22.48,20.06,67.66,6.37,41.4,lentil
75.39,49.15,47.91,26.43,80.05,6.4,130.01,ginger
111.18,32.92,22.85,20.93,58.28,6.66,160.76,coffee
24.95,49.73,21.59,26.6,85.84,7.21,47.27,mungbean
34.38,49.18,90.5,27.8,73.91,5.74,59.29,sweet_potato
46.03,66.99,87.88,14.56,10.0,7.58,103.45,chickpea
52.59,54.53,55.03,23.42,88.6,5.98,243.47,cardamom
55.31,49.87,45.3,27.35,44.68,6.29,81.61,castor
70.85,59.09,108.16,22.19,78.29,5.77,107.43,tobacco
122.79,60.06,83.38,27.65,88.6,6.1,164.54,turmeric
60.2,47.4,89.37,23.03,79.32,5.91,28.81,potato
97.31,63.6,85.79,24.85,68.31,6.35,111.31,tobacco
97.56,52.64,46.18,12.89,75.92,6.2,38.7,cauliflower
39.63,67.77,26.4,16.24,16.62,5.28,143.7,kidneybeans
86.88,6.23,43.83,23.36,90.98,6.12,60.45,watermelon
140.0,61.45,95.6,29.75,80.4,6.74,185.08,sugarcane
92.43,55.47,50.47,21.28,49.16,6.38,88.2,maize
121.66,10.18,34.19,21.84,77.55,6.56,52.51,watermelon
83.28,73.75,58.5,30.97,79.39,6.14,112.76,banana
29.6,88.48,111.69,9.1,66.35,5.92,34.16,strawberry
26.16,69.05,15.73,31.01,71.94,7.05,82.51,blackgram
15.91,43.37,21.51,26.47,83.44,6.58,54.33,mungbean
70.09,37.05,33.24,26.63,69.53,6.58,65.12,onion
56.43,71.72,110.1,22.02,11.87,7.14,95.68,chickpea
54.49,58.91,93.08,17.47,75.45,5.41,54.77,potato
90.75,70.06,66.39,26.79,79.65,6.14,136.48,banana
33.71,44.04,51.07,26.43,75.05,6.77,100.4,guava
85.88,57.65,68.18,26.59,91.33,6.22,159.98,ginger
83.77,18.55,42.12,32.94,92.99,6.24,26.44,muskmelon
20.99,17.71,40.1,22.99,89.84,5.55,109.84,pomegranate
50.87,52.34,8.38,25.37,62.15,7.3,81.93,blackgram
128.69,20.29,56.81,20.22,66.64,7.3,30.27,spinach
53.14,60.07,35.31,24.68,56.52,6.24,33.24,castor
81.81,14.7,46.7,26.35,82.03,6.55,20.7,muskmelon
105.56,58.06,44.37,21.64,66.47,7.09,73.56,maize
22.99,25.91,25.33,16.97,82.64,5.32,57.79,grapes
92.73,98.39,57.73,26.37,85.53,5.58,92.18,banana
109.26,21.67,71.1,27.58,69.03,5.46,117.88,pineapple
22.82,40.79,25.27,30.49,55.01,5.85,60.68,mothbeans
44.97,30.1,42.49,20.57,70.5,6.62,75.67,tomato
41.28,54.9,79.99,26.36,71.74,5.95,89.65,sweet_potato
20.26,54.42,20.09,24.81,50.54,5.51,164.88,pigeonpeas
91.84,59.16,78.33,26.34,87.27,5.76,149.91,turmeric
95.65,15.34,45.85,26.32,87.34,6.0,27.9,muskmelon
35.58,78.96,104.36,13.36,100.0,6.55,78.85,strawberry
31.47,48.26,14.03,28.63,51.15,6.88,60.94,mothbeans
101.78,71.27,49.86,20.95,66.44,6.84,94.17,wheat
139.7,33.36,72.89,13.41,78.05,6.48,42.79,spinach
78.73,33.74,55.22,24.57,84.3,6.17,181.55,pepper
90.11,48.37,84.25,30.86,89.8,6.52,153.2,turmeric
15.55,73.33,48.69,21.44,77.77,6.57,125.71,soybean
91.13,52.65,69.98,20.71,48.17,5.89,82.91,maize
73.99,48.61,42.5,20.22,78.29,6.64,141.29,jute
66.09,41.49,39.59,24.06,85.19,5.01,204.88,tea
26.76,20.14,33.07,36.23,53.2,5.83,91.89,mango
99.35,38.5,104.26,31.99,72.34,4.9,142.38,pineapple
27.81,58.11,22.27,16.54,16.65,6.18,115.45,kidneybeans
112.63,60.86,57.41,26.02,64.86,6.37,106.79,maize
12.36,21.12,39.59,22.22,84.15,5.84,116.84,pomegranate
27.97,69.67,19.39,25.81,50.72,5.99,141.24,pigeonpeas
13.62,81.48,49.73,20.8,70.4,6.3,87.52,soybean
15.68,74.64,15.89,25.4,60.14,7.03,56.74,lentil
93.62,65.45,46.48,26.47,83.16,5.59,112.41,banana
99.3,51.91,39.79,21.22,69.4,6.47,84.48,wheat
60.18,40.28,47.9,28.12,61.08,6.71,47.33,sunflower
81.79,36.45,44.59,25.3,82.96,5.21,261.44,cardamom
101.17,28.47,26.87,30.14,55.75,6.94,174.73,coffee
89.24,69.15,76.34,24.69,78.54,6.25,110.19,tobacco
18.52,55.39,13.85,31.48,84.35,6.24,38.49,mungbean
31.18,18.9,11.15,18.39,95.09,6.47,88.16,orange
111.97,67.94,57.61,22.13,53.94,6.44,99.48,maize
58.82,46.12,63.75,21.58,51.76,7.08,68.88,sunflower
21.32,34.87,51.08,23.24,71.42,6.35,42.28,lemon
37.21,29.31,59.13,28.49,64.98,6.43,37.94,tomato
76.24,46.49,83.64,19.98,52.83,5.9,96.45,potato
92.43,51.39,78.3,29.54,80.35,6.2,144.22,turmeric
47.41,60.52,51.24,30.44,94.12,5.99,164.2,papaya
114.81,49.88,69.0,29.83,90.69,4.88,147.61,pineapple
99.03,41.6,44.19,22.59,66.74,6.59,96.27,wheat
108.91,97.27,65.97,28.9,77.28,5.46,97.28,banana
13.96,23.68,37.57,23.82,79.44,5.88,75.03,grapes
51.21,49.48,45.81,18.91,48.59,6.85,76.02,mustard
105.38,72.21,61.13,23.54,63.69,5.41,85.9,maize
55.18,50.32,32.29,35.36,93.6,6.44,137.27,papaya
23.1,54.2,15.78,30.29,47.14,6.65,58.98,mothbeans
42.37,42.93,41.89,19.94,44.0,6.16,60.88,coriander
51.55,38.1,36.34,34.25,55.35,6.06,44.64,castor
74.82,49.82,29.62,21.95,83.02,7.18,216.68,rice
49.11,57.88,50.67,21.88,74.68,6.1,55.62,capsicum
10.5,32.43,15.82,32.72,81.5,6.58,43.47,mungbean
54.26,26.26,48.53,21.88,55.73,7.41,40.87,mustard
22.42,60.91,18.34,20.91,22.23,5.19,142.95,kidneybeans
45.9,30.05,40.65,25.15,79.85,5.85,253.83,cardamom
33.88,98.2,124.75,18.98,71.08,5.83,76.61,strawberry
12.16,72.51,21.65,28.48,42.16,5.75,171.56,pigeonpeas
23.57,13.61,12.84,23.67,94.49,6.71,111.06,orange
22.3,19.24,14.81,24.76,95.07,6.57,105.67,orange
17.79,68.65,31.69,27.14,73.44,6.49,96.72,soybean
100.28,58.07,36.29,24.75,66.79,6.88,102.01,wheat
75.43,53.8,71.96,19.24,72.9,6.43,36.54,cauliflower
54.72,38.41,47.77,26.23,39.12,6.34,55.02,castor
21.75,61.3,17.93,23.3,23.11,5.76,108.91,kidneybeans
92.46,46.6,46.54,26.51,78.56,5.99,97.08,tobacco
69.7,47.53,66.48,24.74,50.57,6.59,34.74,sunflower
35.72,23.91,28.26,28.58,48.62,7.4,35.24,cumin
101.88,52.35,83.43,14.68,84.04,6.12,28.48,cauliflower
99.36,24.01,27.53,18.05,63.14,6.84,141.22,coffee
20.62,45.09,55.19,30.28,49.11,7.17,60.02,groundnut
26.38,30.71,17.53,32.18,51.01,7.13,24.75,mothbeans
57.57,30.07,42.24,28.32,61.21,6.09,95.0,guava
22.34,41.13,13.63,24.92,81.21,6.64,46.73,mungbean
63.88,32.81,37.63,16.1,49.65,7.43,25.31,coriander
52.26,50.41,25.13,32.35,61.68,6.11,45.28,castor
15.59,59.38,61.37,31.32,67.74,7.09,76.74,groundnut
90.81,49.81,54.53,30.23,79.17,6.58,139.34,jute
112.03,34.34,36.04,22.74,51.38,6.9,126.94,coffee
98.24,10.14,56.12,24.16,91.37,6.55,40.46,watermelon
19.68,22.36,22.51,32.93,47.85,6.71,60.99,mango
94.85,35.26,55.82,25.96,83.9,6.24,101.75,turmeric
67.46,31.5,40.86,28.52,97.29,5.7,221.82,cardamom
47.41,62.3,85.66,21.05,15.37,7.38,85.51,chickpea
29.2,96.29,95.53,17.87,70.19,6.11,58.57,strawberry
89.56,51.84,92.33,14.44,79.74,6.68,46.43,cabbage
93.99,9.3,47.96,16.83,85.43,6.65,44.98,watermelon
41.34,23.5,33.99,23.17,42.58,7.37,20.0,cumin
47.38,45.94,21.53,31.29,49.76,6.55,47.64,sesame
103.99,47.97,57.77,19.93,68.97,7.07,92.37,wheat
23.49,64.19,17.49,26.5,71.56,6.65,57.17,lentil
31.22,54.47,97.51,25.91,69.06,5.82,83.33,sweet_potato
38.35,59.35,116.31,11.1,48.86,5.73,43.19,carrot
112.99,83.18,46.62,26.25,75.56,5.75,122.28,banana
85.55,35.29,78.48,27.19,80.86,5.75,99.47,pineapple
72.14,45.21,56.05,24.36,78.25,6.45,193.79,pepper
65.23,65.14,39.68,23.5,67.82,6.34,75.95,onion
88.52,33.35,96.24,29.14,80.23,6.15,160.42,pineapple
46.13,48.12,61.45,29.59,91.36,6.59,171.42,papaya
22.29,59.87,43.82,24.52,48.47,6.22,83.35,soybean
23.75,21.59,31.05,31.2,56.95,6.53,52.87,sesame
123.77,51.78,93.64,32.45,58.97,6.81,158.21,sugarcane
87.15,39.8,68.83,17.87,83.21,6.62,20.0,cauliflower
69.48,61.88,37.86,14.42,66.81,6.3,50.68,onion
20.53,119.75,182.2,25.89,95.91,5.57,84.12,apple
19.72,51.08,40.56,28.21,74.77,6.63,51.42,groundnut
69.58,55.09,52.38,15.9,59.0,5.81,64.19,potato
39.5,53.82,87.64,25.11,59.61,5.93,30.13,carrot
66.49,34.11,78.99,17.59,70.21,5.71,53.39,potato
49.45,38.92,33.21,18.1,65.45,7.09,56.88,garlic
28.19,81.2,68.08,19.72,18.1,7.62,95.17,chickpea
21.55,36.54,19.37,27.36,44.26,6.97,48.37,mothbeans
58.65,28.18,44.64,21.37,55.86,6.77,33.66,mustard
70.1,30.0,30.77,30.86,93.94,5.28,296.46,rubber
128.55,85.72,97.26,25.0,73.69,7.01,158.43,sugarcane
18.88,39.03,40.39,30.09,80.34,6.95,56.43,groundnut
18.24,61.34,52.7,25.21,90.84,6.58,61.7,soybean
14.46,70.38,35.58,22.42,73.5,6.15,90.07,soybean
73.25,47.25,70.95,16.47,64.41,5.71,47.97,potato
50.25,56.26,43.83,26.09,87.45,5.96,163.14,papaya
22.86,23.5,40.19,33.04,49.45,6.61,92.38,mango
42.99,25.19,25.54,28.12,76.73,5.91,170.66,cashew
60.91,44.31,80.52,17.84,58.59,6.39,47.73,radish
86.91,33.65,36.67,25.96,79.79,6.11,280.05,pepper
33.54,50.52,99.08,14.33,64.84,5.85,40.07,carrot
75.25,29.77,33.16,21.51,87.75,5.51,263.02,cardamom
38.97,65.11,85.93,15.65,21.11,7.2,85.79,chickpea
87.9,55.27,21.19,25.4,79.73,7.09,183.68,jute
55.72,50.2,40.23,24.35,64.57,6.73,44.37,mustard
98.29,51.62,64.73,26.86,82.37,5.76,99.58,ginger
32.96,41.29,27.66,30.73,74.11,6.58,64.4,mungbean
34.57,135.34,165.79,23.16,89.05,5.96,146.62,apple
104.27,44.09,67.03,29.71,88.73,5.85,64.02,turmeric
31.23,69.59,41.01,27.31,58.14,6.32,64.54,soybean
96.18,45.61,51.97,15.28,62.59,6.98,39.93,spinach
47.85,60.52,86.79,21.51,30.93,7.44,72.41,chickpea
40.37,65.36,20.04,30.0,52.93,7.14,79.13,blackgram
118.12,66.1,27.69,23.04,71.83,7.17,70.73,wheat
107.95,41.32,44.0,21.21,75.8,6.8,82.84,cotton
36.49,34.66,45.74,27.14,66.11,6.46,115.81,guava
59.15,59.22,38.29,26.01,78.77,6.89,54.94,onion
123.02,51.8,41.38,23.32,75.19,6.9,62.12,cotton
88.95,21.97,30.68,13.95,98.3,4.2,200.19,tea
91.45,37.75,101.42,30.82,78.46,5.99,134.4,pineapple
48.6,46.53,24.95,32.85,56.0,6.69,31.57,sesame
95.65,48.41,42.1,24.92,88.83,6.43,190.86,rice
18.61,59.81,26.0,19.03,16.75,5.76,92.85,kidneybeans
49.82,53.69,29.09,27.84,75.86,7.2,127.1,jute
53.88,30.26,20.13,26.69,40.41,6.4,29.58,sesame
45.08,35.24,20.59,28.14,42.38,6.83,20.0,sesame
72.98,47.14,36.11,20.36,82.39,6.64,169.57,rice
47.11,45.5,40.85,26.71,57.72,7.32,34.55,castor
12.69,145.0,195.58,18.34,88.12,5.41,137.75,apple
47.48,51.67,64.16,27.68,48.99,6.0,71.24,castor
26.89,36.17,45.42,27.93,65.24,6.02,150.61,lemon
100.25,43.91,66.13,23.28,79.77,5.84,188.74,turmeric
21.7,67.26,91.99,30.21,77.64,6.36,91.4,sweet_potato
36.02,38.89,46.43,26.06,71.81,6.57,60.54,tomato
24.13,39.01,52.75,26.89,86.63,6.32,47.42,tomato
114.0,54.95,40.77,24.41,82.26,6.92,94.49,cotton
22.54,57.48,15.68,16.93,15.96,6.29,115.23,kidneybeans
21.11,12.67,24.87,24.13,76.77,6.59,93.81,grapes
39.58,25.44,60.43,31.53,57.47,6.63,132.53,guava
70.08,44.51,58.66,23.6,82.32,5.43,200.06,cardamom
51.27,40.47,61.51,22.99,48.86,7.3,42.57,sunflower
114.68,77.41,44.41,25.24,71.16,5.24,122.55,banana
38.88,33.57,42.4,20.63,68.84,6.54,47.08,tomato
19.62,23.4,35.6,29.87,58.46,5.84,113.46,mango
38.44,27.54,86.3,17.06,76.64,6.08,52.77,radish
54.64,52.84,41.49,23.9,82.58,7.0,169.09,jute
83.73,59.93,55.72,26.8,79.83,6.08,161.84,ginger
87.37,52.27,73.49,25.03,100.0,5.86,114.12,turmeric
22.62,48.24,18.25,29.05,52.87,7.02,57.28,mothbeans
45.08,44.6,52.58,27.98,49.2,6.46,52.87,castor
93.43,67.28,66.49,32.61,71.3,6.36,185.75,ginger
101.71,41.54,53.95,27.18,78.07,6.74,84.97,wheat
17.87,17.04,25.63,27.67,92.0,6.3,184.09,coconut
